id,score_normalized,reviewed_at,vintage_id
2542843,98,2013-09-01T00:00:00Z,1347152
2542844,97,2012-10-01T00:00:00Z,1347152
2542845,95,2010-03-01T00:00:00Z,1347152
1365983,91,2012-04-19T00:00:00Z,1487878
2543217,92,2012-04-01T00:00:00Z,1487878
2663056,90,2012-04-26T00:00:00Z,1487878
202897,98,2009-04-29T00:00:00Z,84918
2537089,93,2011-03-01T00:00:00Z,84918
2839855,93,2009-06-01T00:00:00Z,84918
609773,96,2006-04-24T00:00:00Z,1293766
1373177,92,2012-06-30T00:00:00Z,1293766
1931215,94,2013-05-13T00:00:00Z,1293766
2545953,91,2011-04-01T00:00:00Z,1293766
2545954,89,2009-11-01T00:00:00Z,1293766
2545955,92,2007-01-01T00:00:00Z,1293766
2545956,89,2006-04-01T00:00:00Z,1293766
2839168,92,2006-06-01T00:00:00Z,1293766
610054,96,2002-02-28T00:00:00Z,1340728
1374022,86,2010-03-05T00:00:00Z,1340728
2841536,90,2001-06-01T00:00:00Z,1340728
1371295,91,2012-02-05T00:00:00Z,1352467
1736219,93,2010-04-27T00:00:00Z,1352467
2506216,90,2012-03-01T00:00:00Z,1352467
2539528,90,2010-06-01T00:00:00Z,1352467
2763369,91,2015-10-01T00:00:00Z,1352467
3169739,95,2012-11-12T00:00:00Z,1352467
1374416,94,2011-05-15T00:00:00Z,93643
1712606,93,2007-04-30T00:00:00Z,93643
2498585,88,2009-03-01T00:00:00Z,93643
2545924,90,2016-07-01T00:00:00Z,93643
2545925,90,2008-04-01T00:00:00Z,93643
2545926,90,2007-03-01T00:00:00Z,93643
2770435,90,2009-12-01T00:00:00Z,93643
2839568,88,2007-06-01T00:00:00Z,93643
235912,95,2006-04-24T00:00:00Z,101680
2544926,96,2017-03-01T00:00:00Z,101680
2544927,91,2015-06-01T00:00:00Z,101680
2544928,95,2009-05-01T00:00:00Z,101680
2544929,95,2008-11-01T00:00:00Z,101680
2544930,95,2008-05-01T00:00:00Z,101680
2544931,96,2008-05-01T00:00:00Z,101680
2544932,96,2008-04-01T00:00:00Z,101680
2544933,95,2007-01-01T00:00:00Z,101680
2544934,94,2006-04-01T00:00:00Z,101680
2771103,96,2008-10-01T00:00:00Z,101680
2829883,93,2006-06-01T00:00:00Z,101680
2838890,95,2008-03-01T00:00:00Z,101680
3216769,18,2018-11-18T00:00:00Z,101680
3216976,100,2018-11-19T00:00:00Z,101680
3219840,96,2018-11-26T00:00:00Z,101680
228291,95,2013-10-31T00:00:00Z,1963447
1372720,91,2016-06-02T00:00:00Z,1963447
1842957,87,2013-10-31T00:00:00Z,1963447
1842958,87,2013-10-31T00:00:00Z,1963447
3499721,90,2019-08-30T00:00:00Z,156280913
1372109,90,2010-07-02T00:00:00Z,85825
1706053,93,2006-04-24T00:00:00Z,85825
2542209,94,2008-04-01T00:00:00Z,85825
2542210,93,2007-03-01T00:00:00Z,85825
2542211,94,2006-10-01T00:00:00Z,85825
2542212,92,2006-04-01T00:00:00Z,85825
2829763,90,2006-06-01T00:00:00Z,85825
2838857,90,2008-03-01T00:00:00Z,85825
3016015,86,2008-10-01T00:00:00Z,85825
2543582,90,2012-04-01T00:00:00Z,1397991
2663254,93,2012-04-26T00:00:00Z,1397991
1368118,86,2016-04-29T00:00:00Z,14484465
1835007,88,2016-04-28T00:00:00Z,14484465
2947388,87,2018-02-21T00:00:00Z,14484465
2949807,93,2018-04-27T00:00:00Z,5381534
1371318,89,2013-02-06T00:00:00Z,1443046
1761355,90,2011-05-02T00:00:00Z,1443046
2506088,93,2011-06-01T00:00:00Z,1443046
2507762,92,2013-03-01T00:00:00Z,1443046
418165,87,2017-06-30T00:00:00Z,14693669
2528597,92,2017-12-01T00:00:00Z,12061723
3119960,91,2018-08-31T00:00:00Z,12061723
3119961,94,2018-08-31T00:00:00Z,12061723
3502638,96,2018-01-18T00:00:00Z,12061723
3505719,91,2020-03-25T00:00:00Z,12061723
3505720,93,2015-01-01T00:00:00Z,12061723
3505721,95,2020-03-25T00:00:00Z,12061723
1954591,90,2015-08-21T00:00:00Z,2015560
2543247,94,2017-03-01T00:00:00Z,2015560
2543248,92,2013-09-01T00:00:00Z,2015560
2543249,93,2012-04-01T00:00:00Z,2015560
2663224,95,2012-04-26T00:00:00Z,2015560
3448292,95,2014-01-02T00:00:00Z,2015560
3448293,96,2014-01-01T00:00:00Z,2015560
1823415,90,2016-09-28T00:00:00Z,1899267
2664631,92,2013-04-25T00:00:00Z,1450844
3163097,90,2016-03-03T00:00:00Z,1450844
3493552,95,2019-05-16T00:00:00Z,107263882
1870740,93,2017-02-28T00:00:00Z,4183530
238363,93,2006-04-24T00:00:00Z,107064
