,Symbol,Stock Name,Country,Market Price,Day Price Range,PE Ratio,marketCap,Dividend Yield,52 Week Low Price Range Change,52 Week High Price Range Change,3 Month Average Daily Volume,52 Week Price Range,priceEpsCurrentYear
16,5HB.F,,dr_market,7.05,7.05 - 7.05,18.170103,2417501440,0.010133333,1.2596155,-0.17058821,64,3.12 - 8.5,
17,RGLXY,,us_market,5.91,5.91 - 5.91,10.694896,8924336128,0.78849405,1.1648351,-0.011705714,228,2.73 - 5.98,
18,APNHY,,us_market,9.86,9.86 - 10.09,10.1440325,4549433344,0.023230309,1.0288064,-0.022794895,4550,4.86 - 10.09,
19,CIE1.F,,dr_market,45.54,44.795 - 45.54,19.62931,6980735488,,0.5625322,-0.1361912,375,29.145 - 52.72,
20,KD8.HM,,dr_market,107.0,106.0 - 107.0,23.08024,9471949824,,0.15053764,-0.06140351,7224,93.0 - 114.0,
21,LMP.F,,dr_market,0.9,0.9 - 0.9,5.454545,3992067072,0.058620688,0.93133044,0.0,54,0.466 - 0.9,
22,MAS.F,,dr_market,14.9,14.9 - 14.9,,7368496640,0.010927153,0.43269232,-0.18131873,23,10.4 - 18.2,
23,PESA.F,,dr_market,8.45,8.45 - 8.45,8.325123,6530015744,0.027500002,0.8211207,-0.11518329,0,4.64 - 9.55,
24,HT01.F,,dr_market,22.4,22.4 - 22.8,149.33333,4974771200,0.055263158,0.17277482,-0.27741936,44,19.1 - 31.0,
0,OIT.F,,dr_market,1.15,1.15 - 1.15,6.725146,2016214400,0.014999999,0.44654083,-0.1015625,9,0.795 - 1.28,
1,GCB1.F,,dr_market,1.74,1.74 - 1.74,5.6862745,7848792064,0.07206704,1.5777779,-0.0333333,30,0.675 - 1.8,
2,IM8N.SG,,dr_market,34.0,33.2 - 34.0,,3445764096,,1.9824562,-0.07103822,5,11.4 - 36.6,
3,AV6.SG,,dr_market,30.8,30.6 - 31.8,17.139677,2184646912,0.051709678,0.13235289,-0.3304348,8,27.2 - 46.0,
4,AENF.F,,dr_market,3.76,3.76 - 3.76,170.90909,7986277376,0.039473686,1.4258065,-0.020833313,453,1.55 - 3.84,
5,CVU.F,,dr_market,13.9,13.9 - 13.9,5.494071,2619093504,0.026944445,0.5359115,-0.14197537,15,9.05 - 16.2,
6,PM6.F,,dr_market,17.8,17.6 - 17.8,12.059621,8388302848,0.04659091,0.6330275,-0.24126172,903,10.9 - 23.46,
7,TWODY,,us_market,22.38,22.38 - 22.805,,8269656064,,0.75943387,-0.2667104,869,12.72 - 30.52,
